Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
DALYs,Dominica,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,268.4136488,535.3340899,92.81812208
DALYs,El Salvador,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,16442.91422,31606.99908,6190.037951
DALYs,El Salvador,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,11494.33294,22598.90731,4475.266804
DALYs,Costa Rica,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,6606.50559,11591.20653,3096.648736
DALYs,Costa Rica,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,4428.182209,8008.904149,2001.043642
DALYs,Saint Vincent and the Grenadines,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,925.9227917,1507.290852,393.0733468
DALYs,Saint Vincent and the Grenadines,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,722.7589147,1156.946676,300.4763102
DALYs,Belize,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,565.1760043,1189.026919,152.0725841
DALYs,Belize,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,431.6079417,977.1492383,108.6056366
DALYs,Venezuela (Bolivarian Republic of),Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,210027.7774,302856.1274,138990.8161
DALYs,Venezuela (Bolivarian Republic of),Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,140939.4296,198683.0797,94302.65665
DALYs,Nicaragua,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,16577.01031,25597.4061,9447.552522
DALYs,Nicaragua,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,11535.86862,18460.47206,6385.911429
DALYs,El Salvador,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,25823.99078,38870.60193,16316.02605
DALYs,El Salvador,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,22740.34483,34525.77891,14181.61377
DALYs,Bahamas,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,1107.588109,2011.923346,357.8115367
DALYs,Bahamas,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,843.0323431,1538.428494,289.9641718
DALYs,Ecuador,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,39861.45519,71886.20068,19039.41726
DALYs,Ecuador,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,30114.49568,54563.88009,14190.14749
DALYs,Belize,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,1750.431933,2938.545705,707.7767763
DALYs,Belize,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,1186.090092,1964.016418,497.3279466
DALYs,Saint Vincent and the Grenadines,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,433.7671628,852.2330027,140.8452025
DALYs,Saint Vincent and the Grenadines,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,390.9797283,826.3859443,117.9871289
DALYs,Honduras,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,10059.64499,21518.33973,3364.654744
DALYs,Honduras,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,7224.727203,15575.15836,2425.581153
